Distance 141553.38 m, after 1 s.
Distance 139186.52 m, after 2 s.
Distance 138786.75 m, after 3 s.
Distance 138387.84 m, after 4 s.
Distance 137989.77 m, after 5 s.
Distance 137592.56 m, after 6 s.
Distance 137196.19 m, after 7 s.
Distance 136800.68 m, after 8 s.
Distance 136406.01 m, after 9 s.
Distance 136012.19 m, after 10 s.
Distance 135619.22 m, after 11 s.
Distance 135227.1 m, after 12 s.
Distance 134835.83 m, after 13 s.
Distance 134445.41 m, after 14 s.
Distance 134055.84 m, after 15 s.
Distance 133667.11 m, after 16 s.
Distance 133279.24 m, after 17 s.
Distance 132892.21 m, after 18 s.
Distance 132506.03 m, after 19 s.
Distance 132120.7 m, after 20 s.
Distance 131736.22 m, after 21 s.
Distance 131352.59 m, after 22 s.
Distance 130969.8 m, after 23 s.
Distance 130587.86 m, after 24 s.
Distance 130206.77 m, after 25 s.
Distance 129826.53 m, after 26 s.
Distance 129447.13 m, after 27 s.
Distance 129068.59 m, after 28 s.
Distance 128690.88 m, after 29 s.
Distance 128314.03 m, after 30 s.
Distance 127938.02 m, after 31 s.
Distance 127562.86 m, after 32 s.
Distance 127188.54 m, after 33 s.
Distance 126815.07 m, after 34 s.
Distance 126442.44 m, after 35 s.
Distance 126070.66 m, after 36 s.
Distance 125699.72 m, after 37 s.
Distance 125329.62 m, after 38 s.
Distance 124960.37 m, after 39 s.
Distance 124591.97 m, after 40 s.
Distance 124224.4 m, after 41 s.
Distance 123857.68 m, after 42 s.
Distance 123491.8 m, after 43 s.
Distance 123126.77 m, after 44 s.
Distance 122762.57 m, after 45 s.
Distance 122399.22 m, after 46 s.
Distance 122036.7 m, after 47 s.
Distance 121675.03 m, after 48 s.
Distance 121314.2 m, after 49 s.
Distance 120954.2 m, after 50 s.
Distance 120595.05 m, after 51 s.
Distance 120236.73 m, after 52 s.
Distance 119879.25 m, after 53 s.
Distance 119522.6 m, after 54 s.
Distance 119166.8 m, after 55 s.
Distance 118811.83 m, after 56 s.
Distance 118457.69 m, after 57 s.
Distance 118104.39 m, after 58 s.
Distance 117751.93 m, after 59 s.
Distance 117400.29 m, after 60 s.
Distance 117049.49 m, after 61 s.
Distance 116699.53 m, after 62 s.
Distance 116350.39 m, after 63 s.
Distance 116002.09 m, after 64 s.
Distance 115654.61 m, after 65 s.
Distance 115307.97 m, after 66 s.
Distance 114962.15 m, after 67 s.
Distance 114617.17 m, after 68 s.
Distance 114273.01 m, after 69 s.
Distance 113929.68 m, after 70 s.
Distance 113587.17 m, after 71 s.
Distance 113245.49 m, after 72 s.
Distance 112904.63 m, after 73 s.
Distance 112564.6 m, after 74 s.
Distance 112225.39 m, after 75 s.
Distance 111887 m, after 76 s.
Distance 111549.43 m, after 77 s.
Distance 111212.69 m, after 78 s.
Distance 110876.76 m, after 79 s.
Distance 110541.65 m, after 80 s.
Distance 110207.36 m, after 81 s.
Distance 109873.89 m, after 82 s.
Distance 109541.23 m, after 83 s.
Distance 109209.39 m, after 84 s.
Distance 108878.36 m, after 85 s.
Distance 108548.14 m, after 86 s.
Distance 108218.74 m, after 87 s.
Distance 107890.15 m, after 88 s.
Distance 107562.37 m, after 89 s.
Distance 107235.39 m, after 90 s.
Distance 106909.23 m, after 91 s.
Distance 106583.87 m, after 92 s.
Distance 106259.31 m, after 93 s.
Distance 105935.57 m, after 94 s.
Distance 105612.62 m, after 95 s.
Distance 105290.48 m, after 96 s.
Distance 104969.14 m, after 97 s.
