Distance 94488.2 m, after 1 s.
Distance 93878.89 m, after 2 s.
Distance 93588.66 m, after 3 s.
Distance 93299.07 m, after 4 s.
Distance 93010.1 m, after 5 s.
Distance 92721.76 m, after 6 s.
Distance 92434.06 m, after 7 s.
Distance 92146.98 m, after 8 s.
Distance 91860.53 m, after 9 s.
Distance 91574.71 m, after 10 s.
Distance 91289.52 m, after 11 s.
Distance 91004.96 m, after 12 s.
Distance 90721.03 m, after 13 s.
Distance 90437.73 m, after 14 s.
Distance 90155.06 m, after 15 s.
Distance 89873.01 m, after 16 s.
Distance 89591.59 m, after 17 s.
Distance 89310.8 m, after 18 s.
Distance 89030.64 m, after 19 s.
Distance 88751.11 m, after 20 s.
Distance 88472.2 m, after 21 s.
Distance 88193.92 m, after 22 s.
Distance 87916.27 m, after 23 s.
Distance 87639.24 m, after 24 s.
Distance 87362.84 m, after 25 s.
Distance 87087.07 m, after 26 s.
Distance 86811.92 m, after 27 s.
Distance 86537.4 m, after 28 s.
Distance 86263.5 m, after 29 s.
Distance 85990.23 m, after 30 s.
Distance 85717.58 m, after 31 s.
Distance 85445.56 m, after 32 s.
Distance 85174.16 m, after 33 s.
Distance 84903.38 m, after 34 s.
Distance 84633.23 m, after 35 s.
Distance 84363.7 m, after 36 s.
Distance 84094.8 m, after 37 s.
Distance 83826.51 m, after 38 s.
Distance 83558.85 m, after 39 s.
Distance 83291.81 m, after 40 s.
Distance 83025.4 m, after 41 s.
Distance 82759.6 m, after 42 s.
Distance 82494.42 m, after 43 s.
Distance 82229.86 m, after 44 s.
Distance 81965.93 m, after 45 s.
Distance 81702.61 m, after 46 s.
Distance 81439.91 m, after 47 s.
Distance 81177.83 m, after 48 s.
Distance 80916.37 m, after 49 s.
Distance 80655.53 m, after 50 s.
Distance 80395.3 m, after 51 s.
Distance 80135.69 m, after 52 s.
Distance 79876.69 m, after 53 s.
Distance 79618.31 m, after 54 s.
Distance 79360.55 m, after 55 s.
Distance 79103.4 m, after 56 s.
Distance 78846.87 m, after 57 s.
Distance 78590.95 m, after 58 s.
Distance 78335.64 m, after 59 s.
Distance 78080.94 m, after 60 s.
Distance 77826.86 m, after 61 s.
Distance 77573.39 m, after 62 s.
Distance 77320.53 m, after 63 s.
Distance 77068.28 m, after 64 s.
Distance 76816.64 m, after 65 s.
Distance 76565.61 m, after 66 s.
Distance 76315.19 m, after 67 s.
Distance 76065.37 m, after 68 s.
Distance 75816.16 m, after 69 s.
Distance 75567.56 m, after 70 s.
Distance 75319.57 m, after 71 s.
Distance 75072.18 m, after 72 s.
Distance 74825.4 m, after 73 s.
Distance 74579.22 m, after 74 s.
Distance 74333.64 m, after 75 s.
Distance 74088.67 m, after 76 s.
Distance 73844.3 m, after 77 s.
Distance 73600.53 m, after 78 s.
Distance 73357.36 m, after 79 s.
Distance 73114.79 m, after 80 s.
Distance 72872.83 m, after 81 s.
Distance 72631.45 m, after 82 s.
Distance 72390.68 m, after 83 s.
Distance 72150.51 m, after 84 s.
Distance 71910.93 m, after 85 s.
Distance 71671.94 m, after 86 s.
Distance 71433.56 m, after 87 s.
Distance 71195.76 m, after 88 s.
Distance 70958.56 m, after 89 s.
Distance 70721.95 m, after 90 s.
Distance 70485.93 m, after 91 s.
Distance 70250.51 m, after 92 s.
Distance 70015.67 m, after 93 s.
Distance 69781.42 m, after 94 s.
Distance 69547.76 m, after 95 s.
Distance 69314.69 m, after 96 s.
Distance 69082.2 m, after 97 s.
Distance 68850.3 m, after 98 s.
Distance 68618.99 m, after 99 s.
Distance 68388.26 m, after 100 s.
Distance 68158.11 m, after 101 s.
Distance 67928.54 m, after 102 s.
Distance 67699.56 m, after 103 s.
Distance 67471.15 m, after 104 s.
Distance 67243.32 m, after 105 s.
Distance 67016.08 m, after 106 s.
Distance 66789.4 m, after 107 s.
Distance 66563.31 m, after 108 s.
Distance 66337.79 m, after 109 s.
Distance 66112.84 m, after 110 s.
Distance 65888.47 m, after 111 s.
Distance 65664.67 m, after 112 s.
Distance 65441.44 m, after 113 s.
Distance 65218.78 m, after 114 s.
Distance 64996.69 m, after 115 s.
Distance 64775.17 m, after 116 s.
Distance 64554.21 m, after 117 s.
Distance 64333.82 m, after 118 s.
Distance 64114 m, after 119 s.
Distance 63894.74 m, after 120 s.
Distance 63676.04 m, after 121 s.
Distance 63457.9 m, after 122 s.
Distance 63240.33 m, after 123 s.
Distance 63023.31 m, after 124 s.
Distance 62806.85 m, after 125 s.
Distance 62590.94 m, after 126 s.
Distance 62375.6 m, after 127 s.
Distance 62160.8 m, after 128 s.
Distance 61946.56 m, after 129 s.
Distance 61732.88 m, after 130 s.
Distance 61519.74 m, after 131 s.
Distance 61307.15 m, after 132 s.
Distance 61095.11 m, after 133 s.
Distance 60883.62 m, after 134 s.
Distance 60672.67 m, after 135 s.
Distance 60462.27 m, after 136 s.
Distance 60252.41 m, after 137 s.
Distance 60043.1 m, after 138 s.
Distance 59834.32 m, after 139 s.
Distance 59626.09 m, after 140 s.
Distance 59418.39 m, after 141 s.
Distance 59211.23 m, after 142 s.
Distance 59004.6 m, after 143 s.
Distance 58798.51 m, after 144 s.
Distance 58592.95 m, after 145 s.
Distance 58387.93 m, after 146 s.
Distance 58183.43 m, after 147 s.
Distance 57979.46 m, after 148 s.
Distance 57776.02 m, after 149 s.
Distance 57573.1 m, after 150 s.
Distance 57370.71 m, after 151 s.
Distance 57168.85 m, after 152 s.
Distance 56967.5 m, after 153 s.
Distance 56766.68 m, after 154 s.
Distance 56566.37 m, after 155 s.
Distance 56366.58 m, after 156 s.
Distance 56167.31 m, after 157 s.
Distance 55968.55 m, after 158 s.
Distance 55770.3 m, after 159 s.
Distance 55572.56 m, after 160 s.
Distance 55375.34 m, after 161 s.
Distance 55178.62 m, after 162 s.
Distance 54982.41 m, after 163 s.
Distance 54786.71 m, after 164 s.
Distance 54591.51 m, after 165 s.
Distance 54396.81 m, after 166 s.
Distance 54202.61 m, after 167 s.
Distance 54008.91 m, after 168 s.
Distance 53815.71 m, after 169 s.
Distance 53623 m, after 170 s.
Distance 53430.79 m, after 171 s.
Distance 53239.07 m, after 172 s.
Distance 53047.84 m, after 173 s.
Distance 52857.11 m, after 174 s.
Distance 52666.86 m, after 175 s.
Distance 52477.09 m, after 176 s.
Distance 52287.81 m, after 177 s.
Distance 52099.01 m, after 178 s.
Distance 51910.7 m, after 179 s.
Distance 51722.86 m, after 180 s.
Distance 51535.5 m, after 181 s.
Distance 51348.62 m, after 182 s.
Distance 51162.21 m, after 183 s.
Distance 50976.27 m, after 184 s.
Distance 50790.81 m, after 185 s.
Distance 50605.81 m, after 186 s.
Distance 50421.29 m, after 187 s.
Distance 50237.22 m, after 188 s.
Distance 50053.62 m, after 189 s.
Distance 49870.49 m, after 190 s.
Distance 49687.81 m, after 191 s.
Distance 49505.59 m, after 192 s.
Distance 49323.83 m, after 193 s.
Distance 49142.53 m, after 194 s.
Distance 48961.68 m, after 195 s.
Distance 48781.27 m, after 196 s.
Distance 48601.32 m, after 197 s.
Distance 48421.82 m, after 198 s.
Distance 48242.76 m, after 199 s.
Distance 48064.15 m, after 200 s.
Distance 47885.97 m, after 201 s.
Distance 47708.24 m, after 202 s.
Distance 47530.95 m, after 203 s.
Distance 47354.09 m, after 204 s.
Distance 47177.67 m, after 205 s.
Distance 47001.68 m, after 206 s.
Distance 46826.12 m, after 207 s.
Distance 46650.99 m, after 208 s.
Distance 46476.29 m, after 209 s.
Distance 46302.01 m, after 210 s.
Distance 46128.16 m, after 211 s.
Distance 45954.73 m, after 212 s.
Distance 45781.71 m, after 213 s.
Distance 45609.12 m, after 214 s.
Distance 45436.94 m, after 215 s.
Distance 45265.17 m, after 216 s.
Distance 45093.81 m, after 217 s.
Distance 44922.87 m, after 218 s.
Distance 44752.33 m, after 219 s.
Distance 44582.2 m, after 220 s.
Distance 44412.47 m, after 221 s.
Distance 44243.14 m, after 222 s.
Distance 44074.21 m, after 223 s.
Distance 43905.68 m, after 224 s.
Distance 43737.54 m, after 225 s.
Distance 43569.8 m, after 226 s.
Distance 43402.45 m, after 227 s.
Distance 43235.49 m, after 228 s.
Distance 43068.91 m, after 229 s.
Distance 42902.73 m, after 230 s.
Distance 42736.92 m, after 231 s.
Distance 42571.5 m, after 232 s.
Distance 42406.45 m, after 233 s.
Distance 42241.78 m, after 234 s.
Distance 42077.49 m, after 235 s.
Distance 41913.57 m, after 236 s.
Distance 41750.02 m, after 237 s.
Distance 41586.84 m, after 238 s.
Distance 41424.03 m, after 239 s.
Distance 41261.58 m, after 240 s.
Distance 41099.49 m, after 241 s.
Distance 40937.76 m, after 242 s.
Distance 40776.4 m, after 243 s.
Distance 40615.38 m, after 244 s.
Distance 40454.73 m, after 245 s.
Distance 40294.42 m, after 246 s.
Distance 40134.46 m, after 247 s.
Distance 39974.85 m, after 248 s.
Distance 39815.59 m, after 249 s.
Distance 39656.67 m, after 250 s.
Distance 39498.09 m, after 251 s.
Distance 39339.85 m, after 252 s.
Distance 39181.95 m, after 253 s.
Distance 39024.39 m, after 254 s.
Distance 38867.15 m, after 255 s.
Distance 38710.25 m, after 256 s.
Distance 38553.67 m, after 257 s.
Distance 38397.42 m, after 258 s.
Distance 38241.5 m, after 259 s.
Distance 38085.89 m, after 260 s.
Distance 37930.61 m, after 261 s.
Distance 37775.64 m, after 262 s.
Distance 37620.99 m, after 263 s.
Distance 37466.66 m, after 264 s.
Distance 37312.63 m, after 265 s.
Distance 37158.91 m, after 266 s.
Distance 37005.5 m, after 267 s.
Distance 36852.4 m, after 268 s.
Distance 36699.59 m, after 269 s.
Distance 36547.09 m, after 270 s.
Distance 36394.89 m, after 271 s.
Distance 36242.98 m, after 272 s.
Distance 36091.36 m, after 273 s.
Distance 35940.04 m, after 274 s.
Distance 35789.01 m, after 275 s.
Distance 35638.26 m, after 276 s.
Distance 35487.8 m, after 277 s.
Distance 35337.62 m, after 278 s.
Distance 35187.72 m, after 279 s.
Distance 35038.1 m, after 280 s.
Distance 34888.76 m, after 281 s.
Distance 34739.69 m, after 282 s.
Distance 34590.89 m, after 283 s.
Distance 34442.36 m, after 284 s.
Distance 34294.11 m, after 285 s.
Distance 34146.11 m, after 286 s.
Distance 33998.38 m, after 287 s.
Distance 33850.91 m, after 288 s.
Distance 33703.7 m, after 289 s.
Distance 33556.75 m, after 290 s.
Distance 33410.05 m, after 291 s.
Distance 33263.6 m, after 292 s.
Distance 33117.41 m, after 293 s.
Distance 32971.46 m, after 294 s.
Distance 32825.76 m, after 295 s.
Distance 32680.3 m, after 296 s.
Distance 32535.09 m, after 297 s.
Distance 32390.11 m, after 298 s.
Distance 32245.37 m, after 299 s.
Distance 32100.87 m, after 300 s.
Distance 31956.6 m, after 301 s.
Distance 31812.56 m, after 302 s.
Distance 31668.75 m, after 303 s.
Distance 31525.17 m, after 304 s.
Distance 31381.81 m, after 305 s.
Distance 31238.67 m, after 306 s.
Distance 31095.76 m, after 307 s.
Distance 30953.06 m, after 308 s.
Distance 30810.58 m, after 309 s.
Distance 30668.31 m, after 310 s.
Distance 30526.26 m, after 311 s.
Distance 30384.42 m, after 312 s.
Distance 30242.78 m, after 313 s.
Distance 30101.35 m, after 314 s.
Distance 29960.12 m, after 315 s.
Distance 29819.1 m, after 316 s.
Distance 29678.27 m, after 317 s.
Distance 29537.65 m, after 318 s.
Distance 29397.22 m, after 319 s.
Distance 29256.98 m, after 320 s.
Distance 29116.93 m, after 321 s.
Distance 28977.07 m, after 322 s.
Distance 28837.4 m, after 323 s.
Distance 28697.92 m, after 324 s.
Distance 28558.62 m, after 325 s.
Distance 28419.5 m, after 326 s.
Distance 28280.56 m, after 327 s.
Distance 28141.79 m, after 328 s.
Distance 28003.2 m, after 329 s.
Distance 27864.79 m, after 330 s.
Distance 27726.55 m, after 331 s.
Distance 27588.47 m, after 332 s.
Distance 27450.57 m, after 333 s.
Distance 27312.82 m, after 334 s.
Distance 27175.25 m, after 335 s.
Distance 27037.83 m, after 336 s.
Distance 26900.58 m, after 337 s.
Distance 26763.48 m, after 338 s.
Distance 26626.54 m, after 339 s.
Distance 26489.75 m, after 340 s.
Distance 26353.11 m, after 341 s.
Distance 26216.62 m, after 342 s.
Distance 26080.29 m, after 343 s.
Distance 25944.09 m, after 344 s.
Distance 25808.05 m, after 345 s.
Distance 25672.14 m, after 346 s.
Distance 25536.38 m, after 347 s.
Distance 25400.76 m, after 348 s.
Distance 25265.27 m, after 349 s.
Distance 25129.92 m, after 350 s.
Distance 24994.7 m, after 351 s.
Distance 24859.61 m, after 352 s.
Distance 24724.66 m, after 353 s.
Distance 24589.83 m, after 354 s.
Distance 24455.13 m, after 355 s.
Distance 24320.55 m, after 356 s.
Distance 24186.1 m, after 357 s.
Distance 24051.77 m, after 358 s.
Distance 23917.55 m, after 359 s.
Distance 23783.46 m, after 360 s.
Distance 23649.48 m, after 361 s.
Distance 23515.62 m, after 362 s.
Distance 23381.86 m, after 363 s.
Distance 23248.22 m, after 364 s.
Distance 23114.69 m, after 365 s.
Distance 22981.27 m, after 366 s.
Distance 22847.95 m, after 367 s.
Distance 22714.74 m, after 368 s.
Distance 22581.63 m, after 369 s.
Distance 22448.62 m, after 370 s.
Distance 22315.72 m, after 371 s.
Distance 22182.91 m, after 372 s.
Distance 22050.19 m, after 373 s.
Distance 21917.57 m, after 374 s.
Distance 21785.05 m, after 375 s.
Distance 21652.62 m, after 376 s.
Distance 21520.28 m, after 377 s.
Distance 21388.02 m, after 378 s.
Distance 21255.86 m, after 379 s.
Distance 21123.78 m, after 380 s.
Distance 20991.78 m, after 381 s.
Distance 20859.87 m, after 382 s.
Distance 20728.04 m, after 383 s.
Distance 20596.3 m, after 384 s.
Distance 20464.63 m, after 385 s.
Distance 20333.03 m, after 386 s.
Distance 20201.52 m, after 387 s.
Distance 20070.08 m, after 388 s.
Distance 19938.71 m, after 389 s.
Distance 19807.41 m, after 390 s.
Distance 19676.19 m, after 391 s.
Distance 19545.04 m, after 392 s.
Distance 19413.95 m, after 393 s.
Distance 19282.93 m, after 394 s.
Distance 19151.98 m, after 395 s.
Distance 19021.09 m, after 396 s.
Distance 18890.26 m, after 397 s.
Distance 18759.5 m, after 398 s.
Distance 18628.8 m, after 399 s.
Distance 18498.16 m, after 400 s.
Distance 18367.57 m, after 401 s.
Distance 18237.05 m, after 402 s.
Distance 18106.58 m, after 403 s.
Distance 17976.17 m, after 404 s.
Distance 17845.81 m, after 405 s.
Distance 17715.5 m, after 406 s.
Distance 17585.25 m, after 407 s.
Distance 17455.04 m, after 408 s.
Distance 17324.89 m, after 409 s.
Distance 17194.79 m, after 410 s.
Distance 17064.73 m, after 411 s.
Distance 16934.72 m, after 412 s.
Distance 16804.76 m, after 413 s.
Distance 16674.84 m, after 414 s.
Distance 16544.97 m, after 415 s.
Distance 16415.14 m, after 416 s.
Distance 16285.36 m, after 417 s.
Distance 16155.61 m, after 418 s.
Distance 16025.91 m, after 419 s.
Distance 15896.24 m, after 420 s.
Distance 15766.62 m, after 421 s.
Distance 15637.04 m, after 422 s.
Distance 15507.49 m, after 423 s.
Distance 15377.98 m, after 424 s.
Distance 15248.51 m, after 425 s.
Distance 15119.07 m, after 426 s.
Distance 14989.67 m, after 427 s.
Distance 14860.3 m, after 428 s.
Distance 14730.96 m, after 429 s.
Distance 14601.66 m, after 430 s.
Distance 14472.4 m, after 431 s.
Distance 14343.16 m, after 432 s.
Distance 14213.96 m, after 433 s.
Distance 14084.78 m, after 434 s.
Distance 13955.64 m, after 435 s.
Distance 13826.53 m, after 436 s.
Distance 13697.45 m, after 437 s.
Distance 13568.4 m, after 438 s.
Distance 13439.38 m, after 439 s.
Distance 13310.39 m, after 440 s.
Distance 13181.42 m, after 441 s.
Distance 13052.49 m, after 442 s.
Distance 12923.58 m, after 443 s.
Distance 12794.7 m, after 444 s.
